r1,r2,support,weight_log1p
P1002,P31,65,4.189655
P1002,P279,63,4.158883
P1002,P910,27,3.332205
P1002,P461,2,1.098612
P1002,P2670,3,1.386294
P1002,P1002,29,3.401197
P1002,P1889,12,2.564949
P1002,P527,2,1.098612
P1002,P155,8,2.197225
P1002,P156,9,2.302585
P10067,P31,18,2.944439
P10067,P136,7,2.079442
P10067,P138,3,1.386294
P10067,P407,7,2.079442
P10067,P495,4,1.609438
P10067,P6216,5,1.791759
P10067,P7937,10,2.397895
P10067,P86,9,2.302585
P10067,P179,2,1.098612
P10067,P180,2,1.098612
P10067,P826,2,1.098612
P10067,P1558,2,1.098612
P10067,P921,3,1.386294
P10067,P1552,2,1.098612
P10067,P175,4,1.609438
P10067,P676,5,1.791759
P1012,P31,89,4.499810
P1012,P279,64,4.174387
P1012,P373,59,4.094345
P1012,P18,58,4.077537
P1012,P646,57,4.060443
P1012,P1343,34,3.555348
P1012,P361,34,3.555348
P1012,P2671,32,3.496508
P1012,P1889,31,3.465736
P1012,P1417,29,3.401197
P1012,P17,27,3.332205
P1012,P910,26,3.295837
P1012,P13591,26,3.295837
P1012,P2581,24,3.218876
P1012,P244,23,3.178054
P1012,P625,20,3.044522
P1012,P6262,20,3.044522
P1012,P3417,20,3.044522
P1012,P227,19,2.995732
P1012,P7314,19,2.995732
P1012,P8814,19,2.995732
P1012,P8408,18,2.944439
P1012,P460,18,2.944439
P1012,P1269,17,2.890372
P1012,P2163,17,2.890372
P1012,P131,16,2.833213
P1012,P1382,16,2.833213
P1012,P6104,15,2.772589
P1012,P461,15,2.772589
P1012,P691,14,2.708050
P1012,P1617,13,2.639057
P1012,P10283,13,2.639057
P1012,P140,13,2.639057
P1012,P276,13,2.639057
P1012,P12575,13,2.639057
P1012,P1036,12,2.564949
P1012,P2347,12,2.564949
P1012,P179,12,2.564949
P1012,P12633,12,2.564949
P1012,P12596,12,2.564949
P1012,P5008,12,2.564949
P1012,P8189,12,2.564949
P1012,P11924,12,2.564949
P1012,P3827,12,2.564949
P1012,P4342,12,2.564949
P1012,P8313,12,2.564949
P1012,P12086,11,2.484907
P1012,P6366,11,2.484907
P1012,P366,11,2.484907
P1012,P527,11,2.484907
P1000,P1889,7,2.079442
P1000,P2094,22,3.135494
P1000,P1343,3,1.386294
P1000,P1552,2,1.098612
P1000,P17,119,4.787492
P1000,P1269,3,1.386294
P1000,P19,4,1.609438
P1000,P21,5,1.791759
P1000,P106,5,1.791759
P1000,P1344,4,1.609438
P1000,P1412,4,1.609438
P1000,P1532,4,1.609438
P1000,P1000,4,1.609438
P1000,P2283,3,1.386294
P1000,P121,4,1.609438
P1000,P101,2,1.098612
P1000,P31,281,5.641907
P1000,P360,37,3.637586
P1000,P641,241,5.488938
P1000,P279,93,4.543295
P1000,P5008,2,1.098612
P1000,P527,5,1.791759
P1000,P2869,9,2.302585
P1000,P3279,65,4.189655
P1000,P3095,7,2.079442
P1000,P27,4,1.609438
P1000,P734,4,1.609438
P1000,P735,5,1.791759
P1000,P2416,4,1.609438
P1000,P361,33,3.526361
P1000,P461,3,1.386294
P1000,P910,20,3.044522
P1000,P793,13,2.639057
P10129,P17,4,1.609438
P10129,P31,9,2.302585
P10129,P1269,2,1.098612
P10019,P279,137,4.927254
P10019,P1889,18,2.944439
P10019,P1343,21,3.091042
P10019,P1424,6,1.945910
P10019,P2579,4,1.609438
P10019,P2789,5,1.791759
P10019,P2286,6,1.945910
P10019,P2289,4,1.609438
P10019,P1552,4,1.609438
P10019,P1542,2,1.098612
P10019,P155,2,1.098612
P10019,P1269,2,1.098612
P10019,P10019,3,1.386294
P10019,P31,131,4.882802
P10019,P361,21,3.091042
P10019,P910,19,2.995732
P10019,P527,16,2.833213
P10019,P2959,7,2.079442
P10019,P3189,3,1.386294
P10019,P4545,2,1.098612
P10019,P5008,15,2.772589
P10019,P703,5,1.791759
P10019,P828,2,1.098612
P10019,P927,72,4.290459
P10019,P366,6,1.945910
P10019,P4843,2,1.098612
P10019,P2849,3,1.386294
P10019,P460,2,1.098612
P10019,P61,2,1.098612
P3373,P1196,15226,9.630825
P3373,P793,3455,8.147867
P3373,P1142,524,6.263398
P3373,P1151,38,3.663562
P3373,P527,30,3.433987
P3373,P17,32,3.496508
P3373,P1080,2827,7.947325
P3373,P6,6,1.945910
P3373,P1071,21,3.091042
P3373,P1165,148,5.003946
P3373,P1074,215,5.375278
P1013,P1269,23,3.178054
P1013,P1343,44,3.806662
P1013,P1382,17,2.890372
P1013,P1424,15,2.772589
P1013,P138,4,1.609438
P1013,P1151,5,1.791759
P1013,P1552,16,2.833213
P1013,P12457,2,1.098612
P1013,P1542,6,1.945910
P1013,P155,2,1.098612
P1013,P156,4,1.609438
P1013,P1299,2,1.098612
P1013,P1557,6,1.945910
P1013,P17,4,1.609438
P1013,P136,3,1.386294
P1013,P127,2,1.098612
P1013,P159,2,1.098612
P1013,P13044,2,1.098612
P1013,P11279,2,1.098612
P1013,P31,68,4.234107
P1013,P279,90,4.510860
P1013,P361,24,3.218876
P1013,P2670,4,1.609438
P1013,P1889,51,3.951244
P1013,P2579,17,2.890372
P1013,P2737,3,1.386294
P1013,P2959,5,1.791759
P1013,P1830,2,1.098612
P1013,P2283,3,1.386294
P1013,P3095,5,1.791759
P1013,P1995,4,1.609438
P1013,P2176,2,1.098612
P1013,P291,2,1.098612
P1013,P3912,2,1.098612
P1013,P366,2,1.098612
P1013,P364,2,1.098612
P1013,P287,2,1.098612
P1013,P527,22,3.135494
P1013,P5008,31,3.465736
P1013,P6104,14,2.708050
P1013,P5869,3,1.386294
P1013,P8111,7,2.079442
P1013,P461,13,2.639057
P1013,P460,19,2.995732
P1013,P407,3,1.386294
P1013,P495,4,1.609438
P1013,P828,6,1.945910
P1013,P8225,3,1.386294
P1013,P797,2,1.098612
P1013,P57,2,1.098612
P1013,P462,2,1.098612
P1013,P910,58,4.077537
P1013,P921,5,1.791759
P10229,P31,2,1.098612
P10176,P31,143,4.969813
P10176,P105,143,4.969813
P10176,P171,143,4.969813
P10176,P1403,16,2.833213
P10176,P1420,7,2.079442
P10176,P183,4,1.609438
P10176,P1343,13,2.639057
P10176,P2974,4,1.609438
P10176,P279,5,1.791759
P10176,P141,22,3.135494
P10176,P5008,7,2.079442
P10176,P366,2,1.098612
P10176,P1672,3,1.386294
P10176,P1889,4,1.609438
P10176,P2975,2,1.098612
P10176,P166,4,1.609438
P10176,P462,2,1.098612
P10176,P1552,4,1.609438
P10176,P12765,2,1.098612
P10176,P138,2,1.098612
P10176,P12763,2,1.098612
P10176,P910,35,3.583519
P10176,P5588,5,1.791759
P10176,P6104,45,3.828641
P10176,P9566,8,2.197225
P10176,P9714,10,2.397895
P10176,P5841,7,2.079442
P102,P17,11527,9.352534
P102,P6,12,2.564949
P102,P527,343,5.840642
P102,P793,88,4.488636
P102,P1071,2,1.098612
P1011,P155,14,2.708050
P1011,P1343,13,2.639057
P1011,P1365,2,1.098612
P1011,P1424,3,1.386294
P1011,P1552,4,1.609438
P1011,P129,26,3.295837
P1011,P137,16,2.833213
P1011,P1269,19,2.995732
P1011,P1382,20,3.044522
P1011,P1542,16,2.833213
P1011,P121,6,1.945910
P1011,P136,3,1.386294
P1011,P138,5,1.791759
P1011,P140,21,3.091042
P1011,P144,4,1.609438
P1011,P1427,2,1.098612
P1011,P1441,2,1.098612
P1011,P1444,2,1.098612
P1011,P17,2,1.098612
P1011,P2596,5,1.791759
