selection_rank	h	r	t	cut_id	candidate_id	duplicate_provenance_count	source_stage	provenance_type	source_path	line_number
27	Q1001	P27	Q668	2	c3poolv1_e2a422db41b02426bde862ee	10	stage11	event_bridge_triples	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	770968
34	Q100416	P360	Q5	7	c3poolv1_9e59ab697640cae7677d9f77	4	stage11	event_bridge_triples	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	538609
19	Q1004668	P166	Q276	8	c3poolv1_bf98adb612a7d51d0c66b1b5	4	stage11	event_bridge_triples	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	651970
6	Q101251118	P1365	Q101251117	35	c3poolv1_9a2d3ed08433da70abaf2c35	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	524349
36	Q101412903	P3842	Q17139	47	c3poolv1_67c8ddcc988504ec6a657528	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	352580
7	Q101413238	P1366	Q17139	48	c3poolv1_7e50e5884c14df0a27c2c274	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	429608
39	Q10144516	P4224	Q41176	59	c3poolv1_a9df25a6d3515a6eba5c83ef	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	577760
33	Q101500055	P30	Q49	60	c3poolv1_69796655ab4b4e88b5dd4fbf	4	stage11	event_bridge_triples	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	358309
30	Q1016	P2853	Q1123613	69	c3poolv1_609fa163f4f8eb01e49ed72d	5	stage11	event_bridge_triples	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	328367
4	Q102066	P1269	Q61509	74	c3poolv1_34c1736778b72d95305f5882	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	178874
1	Q102123333	P105	Q7432	77	c3poolv1_2ef19b38ea939eb1ea153369	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	159127
49	Q102128341	P105	Q7432	78	c3poolv1_1a2127dfa81b5f591b017b39	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	88453
23	Q1022	P190	Q1489	81	c3poolv1_835c531ac4823188a3ce1fec	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	446666
28	Q102235	P272	Q126399	82	c3poolv1_59a95b7917ca0af0274b4d80	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	304779
17	Q102244	P156	Q102448	83	c3poolv1_96e803452f5d7038c94b7fd3	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	513102
35	Q102438	P364	Q1860	94	c3poolv1_cba283229ed038ace10ab8a9	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	692873
45	Q102448	P750	Q126399	95	c3poolv1_931c746600730160775b4784	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	500288
22	Q102673	P1830	Q50123305	97	c3poolv1_ceaf01a4f7a54acd35c3214f	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	703163
46	Q102754	P840	Q84	100	c3poolv1_ea498b64ad96b0c6c0752f60	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	797014
15	Q10281918	P155	Q10281916	101	c3poolv1_6ad62a215055ff8adfb2acba	2	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	363041
41	Q10303708	P495	Q155	115	c3poolv1_e098aea6802b7933e36c4cf9	4	stage11	event_bridge_triples	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	764067
37	Q1032292	P400	Q1406	122	c3poolv1_289ad13c2d2789289819466c	4	stage11	event_bridge_triples	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	137527
16	Q103403201	P1552	Q63141557	128	c3poolv1_d04c1a09efef923f83b78db9	2	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	708667
12	Q1035	P1412	Q1860	133	c3poolv1_60ba186bcb177e060ee9d075	10	stage11	event_bridge_triples	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	328685
31	Q103841109	P291	Q145	150	c3poolv1_451dc704ef7cb8f79f730386	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	234670
26	Q1039	P206	Q97	152	c3poolv1_c3d311e207e0aeb304583217	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	666438
21	Q103928246	P183	Q668	154	c3poolv1_e0e9236d3c94ab906e6d9de5	1	stage11	state_query_cache	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/replacement_candidates.jsonl	765118
