strategy	cap	classification	selected_auxiliary_edges	canonical_edges_removed	canonical_surplus_delta	canonical_deficit_delta	full_weak_components	canonical_only_weak_components	auxiliary_relation_count	p17_count	p17_share	graph_sha256
baseline_current_ranking	25	passed_policy	25	25	-25.0	0.0	1	24	11	14	0.56	f835dc6485fc5e3d8037da5d46791956b2cc9e059c6ae2a055ff8bfd23c4c636
baseline_current_ranking	50	passed_policy	50	50	-50.0	0.0	1	49	11	39	0.78	91f221e96401bf61eb449ca46467742d809d5589554b770fe9455a5de3d53480
baseline_current_ranking	100	passed_policy	100	100	-100.0	0.0	1	99	17	79	0.79	b3baaf6f2b2a367b1f7b0303b42994b100b648655b5630500d97d88636784e15
baseline_current_ranking	151	passed_policy	151	151	-151.0	0.0	1	149	27	89	0.5894039735099338	66dedc8a14b4d4f8b561d81fc6abd6910a2aea45c27b4e9917a3411ce2fe1ae9
p17_cap_25_percent	25	passed_policy	25	25	-25.0	0.0	1	24	16	6	0.24	589d1f2efb5c0314af512f94bd890b2c42f9985bce05689c0363dbba73cf8330
p17_cap_25_percent	50	passed_policy	50	50	-50.0	0.0	1	48	25	12	0.24	896971eddb41dbb4931df05e9d6c4cccbbcbf0d81d3b295ad18e63cc27fde092
p17_cap_25_percent	100	passed_policy	100	100	-100.0	0.0	1	98	33	25	0.25	7b3b9df9c825aa03d4ea6009f7e464bb0a99e405147e018ca6533d3b17d7fa85
p17_cap_25_percent	151	passed_policy	121	121	-121.0	0.0	1	119	32	37	0.30578512396694213	a22e5101f9e360215db77da225d6664c2b802a6c49e2719a28ed0d21251055b6
p17_cap_40_percent	25	passed_policy	25	25	-25.0	0.0	1	24	13	10	0.4	aa6b1e5eddb3a7b836c9841c6b557a0544ff4f490cdf123dd992f1ae3318db00
p17_cap_40_percent	50	passed_policy	50	50	-50.0	0.0	1	48	20	20	0.4	adaaebd7ecabbe700de3fa2197fed899242aa36ce9c3c62a3a236f61e7c2f299
p17_cap_40_percent	100	passed_policy	100	100	-100.0	0.0	1	98	32	40	0.4	91d01705c87d180654ef5b6680ab57ba77a2b870a9043ec332909779f064eb1c
p17_cap_40_percent	151	passed_policy	131	131	-131.0	0.0	1	129	31	60	0.4580152671755725	402271d3f6d3d3bcfc6bc96a53cf2926d6701f03123e7898f51c259d2e1e23bf
max_per_aux_relation_10	25	passed_policy	25	25	-25.0	0.0	1	24	13	10	0.4	aa6b1e5eddb3a7b836c9841c6b557a0544ff4f490cdf123dd992f1ae3318db00
max_per_aux_relation_10	50	passed_policy	50	50	-50.0	0.0	1	48	25	10	0.2	418a4ecfb07568e04cc3e49905bf44cbc663e137a8641782a9563ba10bbf5b90
max_per_aux_relation_10	100	passed_policy	90	90	-90.0	0.0	1	88	34	10	0.1111111111111111	202c11ef5f6c51cd6ad18504f112f13d9feff0335871848ffb97a34d63d9f2f6
max_per_aux_relation_10	151	passed_policy	90	90	-90.0	0.0	1	88	34	10	0.1111111111111111	202c11ef5f6c51cd6ad18504f112f13d9feff0335871848ffb97a34d63d9f2f6
max_per_aux_relation_20	25	passed_policy	25	25	-25.0	0.0	1	24	11	14	0.56	f835dc6485fc5e3d8037da5d46791956b2cc9e059c6ae2a055ff8bfd23c4c636
max_per_aux_relation_20	50	passed_policy	50	50	-50.0	0.0	1	48	20	20	0.4	adaaebd7ecabbe700de3fa2197fed899242aa36ce9c3c62a3a236f61e7c2f299
max_per_aux_relation_20	100	passed_policy	100	100	-100.0	0.0	1	98	33	20	0.2	535d037609e131b65fa16ea857d9a549a9a8ecf378cac0db27073fe4f2b74ca0
max_per_aux_relation_20	151	passed_policy	108	108	-108.0	0.0	1	106	33	20	0.18518518518518517	7dd98e5a3d40e88d26e789381a07e5468455f2e91f71d45c1e43dc01258d1ed9
relation_diversity_penalty_light	25	passed_policy	25	25	-25.0	0.0	1	25	25	1	0.04	ce797e03550bbe47bf517f52712a6fe44fff2177da75d8a6a31dbea7879312d7
relation_diversity_penalty_light	50	passed_policy	50	50	-50.0	0.0	1	49	48	1	0.02	17c082efa49384f0f162b37551d7f7c8a221e73e2cdd7e726a1e018db8ead540
relation_diversity_penalty_light	100	passed_policy	100	100	-100.0	0.0	1	98	48	13	0.13	2151f11e26889399ee80b1a6c7860697bdf8c38b4eaeab00702ca9ffdeb5065d
relation_diversity_penalty_light	151	passed_policy	151	151	-151.0	0.0	1	149	48	60	0.3973509933774834	08c5880db6936c54604ea0b90f2ace5949d917223204388d5eb1f706e96fc2a2
relation_diversity_penalty_strong	25	passed_policy	25	25	-25.0	0.0	1	25	25	1	0.04	ce797e03550bbe47bf517f52712a6fe44fff2177da75d8a6a31dbea7879312d7
relation_diversity_penalty_strong	50	passed_policy	50	50	-50.0	0.0	1	49	48	1	0.02	17c082efa49384f0f162b37551d7f7c8a221e73e2cdd7e726a1e018db8ead540
relation_diversity_penalty_strong	100	passed_policy	100	100	-100.0	0.0	1	98	48	13	0.13	2151f11e26889399ee80b1a6c7860697bdf8c38b4eaeab00702ca9ffdeb5065d
relation_diversity_penalty_strong	151	passed_policy	151	151	-151.0	0.0	1	149	48	60	0.3973509933774834	08c5880db6936c54604ea0b90f2ace5949d917223204388d5eb1f706e96fc2a2
