relation,symmetric,anti_symmetric,inverse,composition
P16,0,1,0,1
P31,0,0,0,1
P127,0,0,0,1
P131,0,0,0,1
P163,0,0,1,0
P167,0,0,1,0
P279,0,0,0,1
P355,0,1,0,0
P361,0,0,0,1
P366,0,0,0,1
P399,1,0,0,0
P406,0,0,1,0
P414,0,1,0,0
P457,0,1,0,0
P461,1,0,0,1
P466,0,0,0,1
P514,1,0,0,0
P527,0,1,0,0
P567,0,1,1,0
P568,0,1,1,0
P612,0,1,0,0
P694,0,0,1,0
P748,0,1,0,0
P793,0,1,0,1
P814,0,0,0,1
P816,0,1,0,0
P822,0,0,1,0
P828,0,1,0,0
P837,0,1,0,0
P880,0,1,0,0
P927,0,1,0,0
P931,0,0,0,1
P1001,0,0,0,1
P1002,0,1,0,0
P1142,0,1,0,0
P1151,0,0,1,0
P1158,0,0,0,1
P1204,0,0,1,0
P1268,0,0,1,1
P1290,0,1,0,0
P1312,0,1,0,0
P1322,1,0,0,0
P1398,0,0,1,0
P1403,0,0,1,0
P1414,0,1,0,0
P1420,1,0,0,0
P1434,0,0,1,0
P1445,0,0,1,0
P1531,0,1,0,0
P1537,0,1,0,0
P1542,0,1,0,0
P1560,1,0,0,0
P1589,0,1,0,0
P1625,0,1,1,0
P1639,1,0,0,0
P1654,0,1,0,0
P1678,0,1,0,0
P1753,0,0,1,0
P1754,0,0,1,0
P1889,0,0,0,1
P2098,0,0,1,0
P2152,1,0,0,0
P2155,1,0,0,0
P2283,0,1,0,0
P2289,0,1,0,0
P2353,0,0,0,1
P2388,0,0,1,0
P2389,0,0,1,0
P2499,0,1,0,0
P2500,0,1,0,0
P2567,0,1,0,0
P2568,0,1,0,0
P2670,0,0,0,1
P2673,0,1,1,0
P2674,0,1,1,0
P2681,0,0,1,0
P2682,0,0,1,0
P2743,1,0,1,0
P2935,0,1,0,0
P2959,1,0,0,0
P3032,1,0,0,0
P3075,0,1,0,0
P3085,0,1,0,0
P3094,0,1,0,0
P3137,0,1,0,0
P3148,0,1,0,0
P3261,0,1,0,0
P3262,0,1,0,0
P3403,1,0,0,0
P3461,0,1,0,0
P3729,0,1,1,0
P3730,0,1,1,0
P3833,0,0,0,1
P4147,0,1,1,0
P4149,0,0,1,0
P4151,0,1,0,0
P4329,0,0,1,0
P4353,0,0,0,1
P4545,1,0,0,0
P4661,0,0,1,0
P4688,0,1,0,0
P4792,0,0,1,0
P4967,0,1,0,0
P5135,0,1,0,0
P5277,0,0,0,1
P5278,1,0,0,0
P5607,0,1,1,0
P5642,0,1,0,0
P5998,0,1,0,0
P6185,1,0,0,0
P6291,0,0,1,0
P6439,0,0,1,0
P7209,0,0,0,1
P7604,0,0,1,0
P7938,0,1,0,0
P8058,0,0,1,0
P8138,0,1,0,0
P8225,0,1,0,0
P8263,0,1,0,0
P8289,0,0,1,0
P8308,0,0,0,1
P8571,0,1,0,0
P8865,1,0,0,0
P9059,0,1,0,0
P9234,0,0,1,0
P9926,0,0,1,0
P10254,0,1,0,0
P10374,0,0,0,1
P10449,0,1,0,0
P10607,0,0,1,0
P10624,0,1,0,0
P12363,0,1,0,0
P12452,0,1,0,0
P12764,0,0,1,0
P12765,0,0,1,0
P12994,0,0,0,1
P13177,1,0,1,0
P13210,0,0,0,1
P13478,0,1,0,0
